Pulse , Rot. period , Tstart/ Tob , ToA(MJD) , Width(ms) ,  Peak flux(mJy) ,  Fluence(Jyms) , Energy(erg) , Cntrl freq.(MHz) , Bandwidth(MHz) , DM(pc cm-3)%
1,1, 59131.3843958 / 1.0 ,59131.38471, 4.2 (2) , 47.1 (26) , 0.020 (2) ,1.31,1277 ,69, 332.5 (5)%
2,  ,  /  ,59131.38471, 4.1 (4) , 24.6 (14) , 0.010 (2) ,0.61,1236 ,86, 332.5 (5)%
3,2,  /  ,59131.38697, 4.6 (4) , 30.0 (17) , 0.014 (2) ,0.91,1230 ,154, 333.0 (9)%
4,3,  /  ,59131.38727, 23.7 (15) , 17.3 (10) , 0.040 (4) ,2.64,1256 ,253, 333.3 (3)%
5,4,  /  ,59131.38813, 4.9 (4) , 29.0 (16) , 0.014 (2) ,0.91,  ,  , 332.2 (5)%
6,  ,  /  ,59131.38813, 14.0 (17) , 11.8 (7) , 0.016 (2) ,1.12,  ,  , 332.2 (5)%
7,5,  /  ,59131.38874, 3.5 (2) , 43.2 (24) , 0.015 (2) ,1.01,  ,  , 332.8 (2)%
8,6,  /  ,59131.3893, 4.3 (2) , 48.3 (27) , 0.021 (2) ,1.31,  ,  , 332.7 (1)%
9,7,  /  ,59131.38964, 14.5 (11) , 17.8 (10) , 0.025 (2) ,1.73,1316 ,169, 331.3 (3)%
10,  ,  /  ,59131.38964, 12.1 (11) , 16.0 (9) , 0.019 (2) ,1.22,1318 ,160, 331.3 (3)%
11,8,  /  ,59131.3899, 8.6 (5) , 28.8 (16) , 0.024 (2) ,1.62,1357 ,97, 333.3 (3)%
12,  ,  /  ,59131.3899, 12.0 (7) , 32.4 (18) , 0.038 (3) ,2.53,  ,  , 333.3 (3)%
13,  ,  /  ,59131.3899, 5.1 (3) , 33.7 (19) , 0.017 (2) ,1.12,  ,  , 333.3 (3)%
14,9,  /  ,59131.39005, 5.9 (4) , 27.4 (15) , 0.016 (2) ,1.01,1240 ,345, 332.4 (3)%
15,10,  /  ,59131.39047, 4.1 (1) , 65.0 (36) , 0.026 (2) ,1.72,1088 ,59, 332.7 (3)%
16,11,  /  ,59131.3905, 25.1 (19) , 14.8 (8) , 0.037 (4) ,2.44,1096 ,48, 331.9 (3)%
17,12,  /  ,59131.39178, 6.1 (6) , 24.2 (13) , 0.014 (2) ,0.92,1168 ,81, 332.8 (8)%
18,13,  /  ,59131.39227, 2.0 (1) , 23.8 (13) , 0.037 (3) ,2.44,  ,  , 332.8 (1)%
19,14,  /  ,59131.39325, 7.8 (6) , 21.5 (12) , 0.016 (2) ,1.12,1115 ,148, 331.9 (4)%
20,15,  /  ,59131.39366, 3.3 (2) , 37.1 (21) , 0.012 (2) ,0.81,  ,  , 332.1 (4)%
21,16,  /  ,59131.39392, 14.2 (13) , 15.6 (9) , 0.022 (2) ,1.43,1164 ,142, 332.8 (2)%
22,17,  /  ,59131.39573, 8.7 (4) , 14.5 (8) , 0.099 (8) ,6.59,1133 ,39, 332.4 (1)%
23,  ,  /  ,59131.39573, 8.3 (7) , 20.0 (11) , 0.016 (2) ,1.12,1133 ,39, 332.4 (1)%
24,18,  /  ,59131.39783, 8.1 (6) , 27.4 (15) , 0.022 (2) ,1.42,1107 ,125, 332.7 (0)%
25,  ,  /  ,59131.39783, 7.8 (7) , 22.1 (12) , 0.017 (2) ,1.12,  ,  , 332.7 (0)%
26,  ,  /  ,59131.39783, 5.5 (2) , 57.3 (32) , 0.031 (2) ,2.02,1117 ,186, 332.7 (1)%
27,19,  /  ,59131.3981, 4.1 (2) , 44.6 (25) , 0.018 (2) ,1.21,1469 ,315, 332.1 (6)%
28,20,  /  ,59131.39892, 7.0 (4) , 33.6 (19) , 0.023 (2) ,1.52,1090 ,98, 332.6 (1)%
29,21,  /  ,59131.40201, 9.2 (9) , 17.0 (9) , 0.015 (2) ,1.02,1178 ,275, 332.2 (2)%
30,22,  /  ,59131.40204, 9.4 (4) , 32.0 (18) , 0.030 (2) ,1.92,  ,  , 332.6 (1)%
31,23,  /  ,59131.40231, 8.0 (8) , 20.7 (11) , 0.016 (2) ,1.12,1113 ,71, 332.8 (2)%
32,24,  /  ,59131.40291, 5.4 (4) , 26.0 (14) , 0.014 (2) ,0.91,  ,  , 332.2 (2)%
33,25,  /  ,59131.40325, 4.1 (3) , 29.4 (16) , 0.012 (1) ,0.81,1162 ,162, 331.6 (5)%
34,26,  /  ,59131.40404, 6.7 (4) , 30.2 (17) , 0.020 (2) ,1.32,1250 ,192, 332.4 (6)%
35,27,  /  ,59131.40415, 5.6 (2) , 48.0 (27) , 0.027 (2) ,1.72,  ,  , 332.0 (3)%
36,28,  /  ,59131.40494, 9.9 (9) , 17.8 (10) , 0.017 (2) ,1.12,1102 ,72, 332.5 (7)%
37,29,  /  ,59131.40498, 3.3 (2) , 46.5 (26) , 0.015 (2) ,1.01,  ,  , 332.4 (7)%
38,30,  /  ,59131.40513, 6.4 (5) , 25.2 (14) , 0.016 (2) ,1.02,  ,  , 332.4 (3)%
39,31,  /  ,59131.40558, 8.0 (7) , 20.7 (11) , 0.016 (2) ,1.12,1174 ,274, 332.1 (5)%
40,32,  /  ,59131.40779, 7.9 (9) , 15.4 (9) , 0.012 (2) ,0.82,1000 ,110, 333.3 (8)%
41,  ,  /  ,59131.40779, 6.0 (4) , 25.2 (14) , 0.015 (2) ,1.01,1000 ,110, 333.3 (8)%
42,33,  /  ,59131.40798, 4.6 (2) , 49.5 (27) , 0.023 (2) ,1.52,1109 ,143, 332.5 (1)%
43,34,  /  ,59131.40806, 4.4 (4) , 21.4 (12) , 0.009 (1) ,0.61,1111 ,120, 332.2 (4)%
44,  ,  /  ,59131.40806, 3.0 (2) , 11.0 (6) , 0.026 (3) ,1.73,1365 ,72, 332.2 (4)%
45,35,  /  ,59131.40821, 9.3 (9) , 19.2 (11) , 0.017 (2) ,1.12,1207 ,243, 332.5 (6)%
46,36,  /  ,59131.40843, 4.4 (1) , 81.2 (45) , 0.036 (2) ,2.32,  ,  , 332.7 (0)%
47,37,  /  ,59131.40866, 5.0 (3) , 41.2 (23) , 0.020 (2) ,1.32,1297 ,310, 332.5 (7)%
48,38,  /  ,59131.40986, 3.8 (2) , 37.6 (21) , 0.014 (2) ,0.91,  ,  , 333.4 (7)%
49,39,  /  ,59131.41084, 3.4 (3) , 23.8 (13) , 0.008 (1) ,0.51,  ,  , 333.8 (3)%
50,40,  /  ,59131.41122, 11.5 (6) , 28.3 (16) , 0.032 (2) ,2.13,  ,  , 332.3 (7)%
51,41,  /  ,59131.41212, 4.7 (4) , 25.2 (14) , 0.012 (2) ,0.81,1416 ,101, 333.0 (3)%
52,  ,  /  ,59131.41212, 4.1 (2) , 39.1 (22) , 0.016 (2) ,1.01,1498 ,186, 333.0 (3)%
53,42,  /  ,59131.41381, 6.9 (5) , 27.3 (15) , 0.019 (2) ,1.22,1148 ,193, 332.8 (9)%
54,43,  /  ,59131.41407, 10.3 (5) , 27.8 (15) , 0.028 (2) ,1.82,1189 ,261, 332.7 (1)%
55,44,  /  ,59131.41415, 4.1 (2) , 51.7 (29) , 0.021 (2) ,1.42,1166 ,241, 332.8 (3)%
56,45,  /  ,59131.41452, 7.6 (4) , 33.4 (18) , 0.025 (2) ,1.62,  ,  , 332.7 (1)%
57,46,  /  ,59131.4149, 13.8 (6) , 29.6 (16) , 0.040 (3) ,2.63,1098 ,48, 332.6 (2)%
58,47,  /  ,59131.41524, 7.5 (3) , 51.9 (29) , 0.038 (3) ,2.53,1193 ,230, 332.5 (1)%
59,  ,  /  ,59131.41524, 6.8 (2) , 70.4 (39) , 0.047 (3) ,3.14,1160 ,192, 332.4 (1)%
60,  ,  /  ,59131.41524, 7.4 (8) , 19.4 (11) , 0.014 (2) ,0.92,1096 ,49, 332.5 (1)%
61,48,  /  ,59131.41539, 10.0 (10) , 17.3 (10) , 0.017 (2) ,1.12,1100 ,82, 332.7 (3)%
62,  ,  /  ,59131.41539, 4.1 (2) , 52.5 (29) , 0.021 (2) ,1.42,1105 ,108, 332.7 (3)%
63,49,  /  ,59131.41543, 6.0 (5) , 22.0 (12) , 0.013 (2) ,0.81,1322 ,74, 332.4 (7)%
64,50,  /  ,59131.41588, 9.6 (6) , 27.0 (15) , 0.026 (2) ,1.72,1123 ,169, 333.1 (3)%
65,51,  /  ,59131.41599, 5.1 (6) , 20.0 (11) , 0.010 (2) ,0.71,1359 ,88, 332.9 (3)%
66,  ,  /  ,59131.41599, 7.4 (7) , 21.6 (12) , 0.016 (2) ,1.02,1359 ,88, 332.9 (3)%
67,52,  /  ,59131.41652, 7.9 (2) , 54.0 (30) , 0.042 (3) ,2.73,1000 ,153, 332.7 (1)%
68,53,  /  ,59131.4167, 5.1 (4) , 27.0 (15) , 0.014 (2) ,0.91,  ,  , 332.5 (8)%
69,54,  /  ,59131.41828, 5.0 (4) , 24.0 (13) , 0.012 (2) ,0.81,1156 ,216, 333.0 (3)%
70,55,  /  ,59131.42009, 6.3 (6) , 21.0 (12) , 0.013 (2) ,0.92,  ,  , 332.8 (8)%
71,56,  /  ,59131.4205, 7.9 (5) , 30.7 (17) , 0.024 (2) ,1.62,1139 ,166, 332.7 (1)%
72,57,  /  ,59131.42197, 1.5 (0) , 75.0 (42) , 0.086 (6) ,5.67,1117 ,74, 332.7 (0)%
73,58,  /  ,59131.42204, 1.3 (0) , 31.9 (18) , 0.032 (2) ,2.13,1359 ,169, 333.0 (2)%
74,59,  /  ,59131.42219, 4.0 (4) , 22.1 (12) , 0.009 (1) ,0.61,1109 ,91, 332.9 (0)%
75,  ,  /  ,59131.42219, 5.4 (5) , 20.6 (12) , 0.011 (2) ,0.71,1100 ,106, 332.9 (0)%
76,60,  /  ,59131.42234, 1.6 (1) , 19.3 (11) , 0.025 (2) ,1.63,  ,  , 332.9 (8)%
77,61,  /  ,59131.42264, 1.2 (0) , 27.0 (15) , 0.024 (2) ,1.62,1119 ,106, 332.8 (1)%
78,62, 59132.3676593 / 1.0 ,59132.36804, 23.2 (20) , 16.0 (10) , 0.036 (4) ,2.45,1084 ,80, 334.2 (2)%
79,63,  /  ,59132.36831, 29.0 (26) , 14.5 (9) , 0.041 (4) ,2.75,  ,  , 332.9 (1)%
80,64,  /  ,59132.36849, 13.5 (10) , 21.2 (13) , 0.028 (2) ,1.83,1148 ,257, 332.5 (6)%
81,65,  /  ,59132.36861, 5.2 (5) , 25.9 (16) , 0.013 (2) ,0.91,1164 ,78, 332.3 (1)%
82,66,  /  ,59132.36906, 4.5 (4) , 31.0 (19) , 0.014 (2) ,0.92,1322 ,184, 332.4 (2)%
83,67,  /  ,59132.36973, 3.8 (1) , 21.5 (13) , 0.064 (5) ,4.26,1178 ,198, 332.3 (5)%
84,68,  /  ,59132.36981, 5.7 (2) , 47.4 (29) , 0.027 (2) ,1.72,  ,  , 332.9 (2)%
85,69,  /  ,59132.37169, 7.4 (7) , 20.1 (12) , 0.015 (2) ,1.02,1344 ,357, 332.8 (8)%
86,  ,  /  ,59132.37169, 5.2 (4) , 27.4 (17) , 0.014 (2) ,0.91,1344 ,357, 332.6 (8)%
87,70,  /  ,59132.37244, 5.6 (4) , 28.1 (17) , 0.016 (2) ,1.02,1338 ,230, 333.0 (8)%
88,71,  /  ,59132.37376, 3.3 (3) , 31.3 (19) , 0.010 (1) ,0.71,1174 ,109, 332.7 (9)%
89,72,  /  ,59132.37489, 5.7 (5) , 26.4 (16) , 0.015 (2) ,1.02,1137 ,231, 333.2 (8)%
90,73,  /  ,59132.37545, 1.8 (1) , 23.2 (14) , 0.032 (3) ,2.13,1102 ,100, 332.8 (2)%
91,74,  /  ,59132.37729, 6.3 (2) , 54.3 (33) , 0.034 (2) ,2.23,1201 ,168, 332.6 (1)%
92,75,  /  ,59132.37815, 30.1 (16) , 19.3 (12) , 0.057 (4) ,3.76,  ,  , 332.5 (2)%
93,76,  /  ,59132.37834, 5.6 (2) , 56.8 (34) , 0.031 (2) ,2.03,1324 ,163, 332.4 (1)%
94,77,  /  ,59132.37846, 39.2 (25) , 15.3 (9) , 0.059 (5) ,3.86,1383 ,51, 332.2 (2)%
95,78,  /  ,59132.37864, 2.0 (1) , 14.6 (9) , 0.022 (2) ,1.53,1154 ,220, 332.2 (5)%
96,79,  /  ,59132.37898, 14.6 (9) , 20.0 (12) , 0.029 (2) ,1.93,1357 ,323, 332.6 (5)%
97,80,  /  ,59132.37996, 5.8 (9) , 9.2 (6) , 0.021 (4) ,1.44,  ,  , 332.4 (7)%
98,81,  /  ,59132.38019, 15.6 (9) , 25.5 (16) , 0.039 (4) ,2.54,1129 ,219, 332.6 (2)%
99,82,  /  ,59132.3803, 6.5 (3) , 41.5 (25) , 0.027 (2) ,1.72,1088 ,173, 332.3 (3)%
100,83,  /  ,59132.38037, 4.6 (3) , 42.6 (26) , 0.019 (2) ,1.22,1195 ,228, 332.4 (8)%
101,84,  /  ,59132.38052, 55.0 (55) , 10.0 (6) , 0.054 (6) ,3.58,1229 ,285, 332.7 (0)%
102,85,  /  ,59132.3806, 39.0 (28) , 13.2 (8) , 0.051 (5) ,3.36,  ,  , 333.3 (7)%
103,86,  /  ,59132.3812, 4.9 (4) , 21.4 (13) , 0.010 (1) ,0.71,1182 ,254, 332.9 (0)%
104,87,  /  ,59132.38214, 5.2 (3) , 37.0 (22) , 0.019 (2) ,1.22,1098 ,114, 332.8 (1)%
105,88,  /  ,59132.38222, 19.2 (20) , 12.0 (7) , 0.023 (3) ,1.53,1180 ,167, 332.8 (9)%
106,89,  /  ,59132.38233, 9.3 (10) , 6.4 (4) , 0.046 (6) ,3.07,  ,  , 332.7 (3)%
107,90,  /  ,59132.38259, 2.6 (2) , 11.8 (7) , 0.024 (3) ,1.63,1156 ,324, 332.6 (2)%
108,91,  /  ,59132.38263, 7.1 (7) , 19.8 (12) , 0.014 (2) ,0.92,  ,  , 331.9 (4)%
109,92,  /  ,59132.38357, 4.0 (5) , 21.9 (13) , 0.009 (1) ,0.61,1342 ,334, 332.7 (1)%
110,  ,  /  ,59132.38357, 10.2 (4) , 39.4 (24) , 0.039 (3) ,2.63,1342 ,334, 332.7 (1)%
111,93,  /  ,59132.38372, 6.4 (4) , 33.7 (20) , 0.021 (2) ,1.42,1365 ,328, 333.1 (2)%
112,94,  /  ,59132.38409, 6.0 (2) , 17.0 (10) , 0.080 (6) ,5.28,1131 ,243, 332.2 (4)%
113,95,  /  ,59132.38549, 7.5 (3) , 38.4 (23) , 0.028 (2) ,1.92,1234 ,266, 332.5 (1)%
114,96,  /  ,59132.38575, 2.8 (3) , 9.9 (6) , 0.022 (4) ,1.44,1277 ,250, 332.7 (7)%
115,  ,  /  ,59132.38575, 1.4 (1) , 17.1 (10) , 0.019 (2) ,1.22,1260 ,57, 332.7 (7)%
116,97,  /  ,59132.38661, 6.0 (5) , 20.4 (12) , 0.012 (2) ,0.81,1215 ,62, 332.6 (6)%
117,  ,  /  ,59132.38661, 3.2 (3) , 21.3 (13) , 0.007 (1) ,0.41,1201 ,278, 332.6 (6)%
118,  ,  /  ,59132.38661, 11.1 (12) , 13.5 (8) , 0.015 (2) ,1.02,1215 ,62, 332.6 (6)%
119,98,  /  ,59132.38733, 7.3 (7) , 7.3 (4) , 0.042 (5) ,2.86,1119 ,326, 333.4 (2)%
120,  ,  /  ,59132.38733, 8.3 (7) , 21.4 (13) , 0.017 (2) ,1.12,1119 ,326, 333.4 (2)%
121,99,  /  ,59132.38767, 10.1 (6) , 27.4 (17) , 0.027 (2) ,1.83,1367 ,171, 332.8 (1)%
122,  ,  /  ,59132.38767, 30.1 (20) , 13.9 (8) , 0.041 (4) ,2.74,  ,  , 333.4 (3)%
123,100,  /  ,59132.38778, 8.1 (6) , 23.6 (14) , 0.019 (2) ,1.22,  ,  , 332.3 (2)%
124,101,  /  ,59132.38868, 6.7 (2) , 51.9 (32) , 0.034 (2) ,2.23,1320 ,289, 332.8 (2)%
125,102,  /  ,59132.39022, 3.4 (3) , 30.6 (19) , 0.010 (1) ,0.71,1270 ,112, 332.0 (2)%
126,  ,  /  ,59132.39022, 8.1 (7) , 21.3 (13) , 0.017 (2) ,1.12,1498 ,271, 331.8 (2)%
127,  ,  /  ,59132.39022, 7.7 (6) , 21.0 (13) , 0.016 (2) ,1.02,1270 ,112, 333.2 (4)%
128,103,  /  ,59132.39045, 5.8 (4) , 30.7 (19) , 0.018 (2) ,1.12,1299 ,136, 332.6 (0)%
129,104,  /  ,59132.39056, 5.8 (4) , 29.9 (18) , 0.017 (2) ,1.12,  ,  , 332.7 (2)%
130,105,  /  ,59132.39097, 9.8 (9) , 16.4 (10) , 0.016 (2) ,1.02,1301 ,256, 333.3 (5)%
131,106,  /  ,59132.39142, 15.2 (9) , 24.0 (15) , 0.036 (3) ,2.33,1117 ,297, 332.6 (1)%
132,  ,  /  ,59132.39142, 7.3 (7) , 21.5 (13) , 0.015 (2) ,1.02,1117 ,297, 332.6 (1)%
133,107,  /  ,59132.39146, 4.2 (3) , 33.6 (20) , 0.014 (2) ,0.91,1084 ,187, 333.3 (3)%
134,  ,  /  ,59132.39146, 5.3 (5) , 21.2 (13) , 0.011 (2) ,0.71,1266 ,293, 332.7 (9)%
135,108,  /  ,59132.39176, 7.8 (8) , 18.1 (11) , 0.014 (2) ,0.92,1227 ,212, 332.0 (1)%
136,109,  /  ,59132.3924, 4.7 (4) , 26.4 (16) , 0.012 (2) ,0.81,1061 ,52, 332.5 (1)%
137,  ,  /  ,59132.3924, 10.1 (6) , 26.0 (16) , 0.026 (2) ,1.73,1061 ,52, 332.5 (1)%
138,110,  /  ,59132.39274, 26.0 (22) , 12.0 (7) , 0.031 (3) ,2.04,1299 ,256, 332.8 (2)%
139,111,  /  ,59132.39312, 14.0 (8) , 23.0 (14) , 0.032 (2) ,2.13,  ,  , 332.8 (7)%
140,112,  /  ,59132.39342, 1.4 (1) , 13.0 (8) , 0.015 (2) ,0.92,1270 ,325, 332.1 (4)%
141,  ,  /  ,59132.39342, 3.2 (3) , 10.3 (6) , 0.026 (3) ,1.73,  ,  , 332.1 (4)%
142,113,  /  ,59132.39447, 10.6 (11) , 15.7 (10) , 0.016 (2) ,1.12,1314 ,281, 333.2 (3)%
143,  ,  /  ,59132.39447, 15.2 (12) , 18.5 (11) , 0.028 (3) ,1.83,1213 ,233, 333.1 (4)%
144,  ,  /  ,59132.39447, 3.8 (1) , 59.4 (36) , 0.022 (2) ,1.52,1314 ,281, 332.1 (5)%
145,114,  /  ,59132.39485, 1.6 (1) , 17.1 (10) , 0.022 (2) ,1.42,1127 ,182, 332.0 (7)%
146,115,  /  ,59132.39541, 6.1 (5) , 22.7 (14) , 0.014 (2) ,0.91,  ,  , 333.7 (6)%
147,116,  /  ,59132.39579, 6.4 (4) , 30.3 (18) , 0.019 (2) ,1.22,1133 ,168, 332.0 (6)%
148,117,  /  ,59132.3959, 10.3 (8) , 20.0 (12) , 0.020 (2) ,1.32,1092 ,48, 332.3 (5)%
149,118,  /  ,59132.39594, 2.1 (1) , 23.8 (14) , 0.039 (3) ,2.54,1201 ,213, 333.0 (1)%
150,119,  /  ,59132.39597, 4.1 (3) , 11.8 (7) , 0.038 (4) ,2.55,1080 ,57, 332.7 (3)%
151,120,  /  ,59132.39612, 4.5 (2) , 41.3 (25) , 0.018 (2) ,1.22,1160 ,127, 332.7 (1)%
152,  ,  /  ,59132.39612, 6.3 (3) , 38.7 (24) , 0.024 (2) ,1.62,  ,  , 332.7 (1)%
153,121,  /  ,59132.39635, 18.4 (18) , 11.9 (7) , 0.022 (2) ,1.43,1188 ,242, 333.2 (5)%
154,  ,  /  ,59132.39635, 7.2 (4) , 29.2 (18) , 0.021 (2) ,1.32,1090 ,111, 332.3 (7)%
155,122,  /  ,59132.39657, 20.1 (19) , 13.1 (8) , 0.026 (3) ,1.73,1189 ,253, 332.4 (2)%
156,  ,  /  ,59132.39658, 5.7 (4) , 26.3 (16) , 0.015 (2) ,1.01,  ,  , 332.6 (1)%
157,123,  /  ,59132.39684, 10.1 (7) , 21.2 (13) , 0.021 (2) ,1.42,  ,  , 333.0 (7)%
158,124,  /  ,59132.39703, 10.6 (6) , 28.0 (17) , 0.029 (2) ,1.93,1367 ,102, 332.7 (0)%
159,  ,  /  ,59132.39703, 11.5 (2) , 73.8 (45) , 0.083 (6) ,5.47,  ,  , 332.7 (0)%
160,  ,  /  ,59132.39703, 16.9 (5) , 42.5 (26) , 0.070 (5) ,4.66,1086 ,47, 332.7 (0)%
161,125,  /  ,59132.39759, 4.8 (4) , 26.3 (16) , 0.012 (2) ,0.81,  ,  , 333.6 (6)%
162,126,  /  ,59132.39793, 5.3 (3) , 36.3 (22) , 0.019 (2) ,1.22,1270 ,212, 333.2 (5)%
163,  ,  /  ,59132.39793, 18.7 (11) , 20.2 (12) , 0.037 (3) ,2.44,1270 ,212, 333.0 (6)%
164,  ,  /  ,59132.39793, 2.5 (2) , 40.4 (25) , 0.010 (1) ,0.61,1270 ,212, 333.0 (6)%
165,127,  /  ,59132.39797, 5.3 (4) , 25.3 (15) , 0.013 (2) ,0.91,  ,  , 332.5 (8)%
166,128,  /  ,59132.39808, 10.4 (12) , 15.0 (9) , 0.015 (2) ,1.02,  ,  , 332.6 (2)%
167,129,  /  ,59132.39823, 4.7 (5) , 23.3 (14) , 0.011 (2) ,0.71,  ,  , 332.9 (9)%
168,130,  /  ,59132.39834, 11.8 (9) , 20.2 (12) , 0.023 (2) ,1.53,1258 ,272, 332.9 (2)%
169,131,  /  ,59132.39943, 6.4 (5) , 8.5 (5) , 0.043 (4) ,2.85,1141 ,183, 333.3 (5)%
170,132,  /  ,59132.39958, 8.7 (7) , 22.2 (13) , 0.019 (2) ,1.22,1217 ,112, 333.3 (8)%
171,133,  /  ,59132.39992, 11.4 (9) , 17.0 (10) , 0.019 (2) ,1.22,1158 ,178, 333.2 (5)%
172,  ,  /  ,59132.39992, 6.2 (3) , 32.3 (20) , 0.020 (2) ,1.32,1158 ,178, 332.4 (1)%
173,134,  /  ,59132.40007, 5.9 (9) , 14.5 (9) , 0.008 (2) ,0.61,  ,  , 333.2 (2)%
174,  ,  /  ,59132.40007, 5.4 (6) , 18.7 (11) , 0.010 (2) ,0.71,  ,  , 333.2 (2)%
175,135,  /  ,59132.40026, 3.0 (3) , 25.8 (16) , 0.008 (1) ,0.51,1125 ,139, 332.8 (2)%
176,136,  /  ,59132.4003, 10.1 (8) , 19.6 (12) , 0.020 (2) ,1.32,  ,  , 332.7 (2)%
177,137,  /  ,59132.40056, 3.4 (4) , 23.3 (14) , 0.008 (1) ,0.51,1127 ,247, 333.3 (8)%
178,  ,  /  ,59132.40056, 14.8 (13) , 17.5 (11) , 0.026 (3) ,1.73,1127 ,247, 333.3 (4)%
179,138,  /  ,59132.40075, 15.4 (12) , 17.0 (10) , 0.026 (2) ,1.73,  ,  , 332.8 (9)%
180,139,  /  ,59132.40105, 1.6 (1) , 16.9 (10) , 0.021 (2) ,1.42,1096 ,103, 332.9 (3)%
181,140,  /  ,59132.40124, 17.9 (12) , 17.9 (11) , 0.031 (3) ,2.03,  ,  , 332.6 (2)%
182,141,  /  ,59132.40146, 5.5 (2) , 35.2 (21) , 0.019 (2) ,1.22,1129 ,245, 332.6 (1)%
183,  ,  /  ,59132.40146, 7.5 (7) , 17.0 (10) , 0.012 (2) ,0.81,1148 ,209, 332.6 (1)%
184,  ,  /  ,59132.40146, 20.1 (17) , 12.9 (8) , 0.025 (3) ,1.73,1105 ,122, 332.6 (1)%
185,142,  /  ,59132.40184, 4.3 (3) , 29.6 (18) , 0.012 (2) ,0.81,1107 ,92, 332.4 (3)%
186,143,  /  ,59132.40188, 9.3 (6) , 26.0 (16) , 0.024 (2) ,1.52,1102 ,293, 332.8 (1)%
187,144,  /  ,59132.40191, 9.7 (1) , 109.6 (67) , 0.104 (6) ,6.88,  ,  , 332.6 (0)%
188,145,  /  ,59132.40218, 10.9 (21) , 7.4 (4) , 0.008 (2) ,0.52,1000 ,110, 332.6 (2)%
189,  ,  /  ,59132.40218, 8.8 (8) , 20.8 (13) , 0.018 (2) ,1.22,1316 ,161, 332.6 (2)%
190,146,  /  ,59132.40221, 28.4 (29) , 10.5 (6) , 0.029 (4) ,1.94,1332 ,315, 332.6 (0)%
191,147,  /  ,59132.40229, 10.2 (9) , 19.5 (12) , 0.019 (2) ,1.32,  ,  , 333.0 (0)%
192,  ,  /  ,59132.40229, 13.8 (11) , 17.2 (10) , 0.023 (2) ,1.53,  ,  , 331.8 (3)%
193,148,  /  ,59132.40251, 4.6 (4) , 11.7 (7) , 0.042 (4) ,2.86,1000 ,253, 332.4 (3)%
194,149,  /  ,59132.40255, 6.4 (6) , 21.6 (13) , 0.014 (2) ,0.92,1443 ,252, 332.7 (9)%
195,  ,  /  ,59132.40255, 9.5 (9) , 16.6 (10) , 0.016 (2) ,1.02,1443 ,252, 332.6 (8)%
196,150,  /  ,59132.4027, 27.6 (16) , 17.4 (11) , 0.047 (4) ,3.15,  ,  , 332.5 (4)%
197,151,  /  ,59132.40289, 13.8 (12) , 8.0 (5) , 0.044 (5) ,2.96,  ,  , 333.7 (4)%
198,152,  /  ,59132.40338, 3.4 (2) , 48.0 (29) , 0.016 (2) ,1.01,1303 ,242, 332.2 (4)%
199,153,  /  ,59132.40492, 6.4 (3) , 35.6 (22) , 0.022 (2) ,1.52,  ,  , 333.1 (2)%
200,  ,  /  ,59132.40492, 9.9 (9) , 17.6 (11) , 0.017 (2) ,1.12,  ,  , 333.1 (2)%
201,  ,  /  ,59132.40492, 5.5 (6) , 20.6 (13) , 0.011 (2) ,0.71,  ,  , 333.1 (2)%
202,154,  /  ,59132.40541, 11.7 (11) , 15.5 (9) , 0.018 (2) ,1.22,  ,  , 334.3 (3)%
203,155,  /  ,59132.40545, 7.8 (7) , 22.6 (14) , 0.017 (2) ,1.12,1156 ,138, 332.8 (4)%
204,  ,  /  ,59132.40545, 4.7 (3) , 29.0 (18) , 0.013 (2) ,0.91,1172 ,175, 332.8 (4)%
205,  ,  /  ,59132.40545, 3.6 (2) , 38.1 (23) , 0.013 (2) ,0.91,1188 ,151, 332.8 (4)%
206,156,  /  ,59132.40548, 8.8 (6) , 23.6 (14) , 0.020 (2) ,1.32,1113 ,224, 333.0 (5)%
207,157,  /  ,59132.40563, 6.2 (5) , 24.9 (15) , 0.015 (2) ,1.02,1135 ,120, 332.6 (8)%
208,158,  /  ,59132.40575, 19.0 (17) , 14.0 (9) , 0.026 (3) ,1.73,1311 ,357, 332.8 (3)%
209,159,  /  ,59132.40642, 9.1 (6) , 26.5 (16) , 0.024 (2) ,1.62,  ,  , 333.3 (7)%
210,160,  /  ,59132.4065, 9.2 (6) , 23.8 (14) , 0.022 (2) ,1.42,  ,  , 332.6 (5)%
211,161,  /  ,59132.40669, 38.1 (30) , 11.1 (7) , 0.041 (4) ,2.75,  ,  , 333.3 (4)%
212,162,  /  ,59132.40729, 4.3 (3) , 33.4 (20) , 0.014 (2) ,0.91,  ,  , 332.0 (5)%
213,163,  /  ,59132.40744, 4.7 (3) , 10.6 (6) , 0.039 (4) ,2.65,1357 ,240, 332.8 (2)%
214,164,  /  ,59132.40759, 4.5 (3) , 38.5 (23) , 0.017 (2) ,1.12,  ,  , 333.1 (2)%
215,165,  /  ,59132.40763, 12.3 (10) , 17.4 (11) , 0.021 (2) ,1.42,1191 ,180, 333.0 (2)%
216,166,  /  ,59132.40766, 8.9 (6) , 24.5 (15) , 0.021 (2) ,1.42,1084 ,63, 331.8 (8)%
217,167, 59133.4096219 / 1.0 ,59133.40979, 6.8 (6) , 18.4 (8) , 0.012 (1) ,0.81,1000 ,145, 333.7 (5)%
